DRX000675	Illmina mRNA-seq analysis for leaf of Sorghum bicolor (L.) Moench BTx623 under 0.01% Tween-20 treatment.	rep1 	leaf_ under_0.01%_Tween-20 treatment	leaf 	0.01%_Tween-20 treatment	7-8 leaf stage	DRR001053
SRX950467	Sorghum_leaf_segment_plus2_rep3	rep3	leaf C4 segment_plus2	leaf 	segment_plus2	developing	SRR1874040
SRX950468	Sorghum_leaf_segment_plus3_rep1	rep1	leaf C4 segment_plus3	leaf 	segment_plus3	developing	SRR1874041
SRX950469	Sorghum_leaf_segment_plus3_rep2	rep2	leaf C4 segment_plus3	leaf 	segment_plus3	developing	SRR1874042
SRX950471	Sorghum_leaf_segment_plus3_rep3	rep1	leaf C4 segment_plus4	leaf 	segment_plus3	developing	SRR1874043
SRX950473	Sorghum_leaf_segment_plus4_rep2	rep2	leaf C4 segment_plus4	leaf 	segment_plus4	developing	SRR1874046
SRX950474	Sorghum_leaf_segment_plus4_rep3	rep3	leaf C4 segment_plus4	leaf 	segment_plus4	developing	SRR1874047
SRX950475	Sorghum_leaf_segment_plus5_rep1	rep1	leaf C4 segment_plus5	leaf 	segment_plus5	developing	SRR1874049
SRX950476	Sorghum_leaf_segment_plus5_rep2	rep2	leaf C4 segment_plus5	leaf 	segment_plus5	developing	SRR1874061
SRX950483	Sorghum_leaf_segment_plus5_rep3	rep3	leaf C4 segment_plus5	leaf 	segment_plus5	developing	SRR1874067
SRX950484	Sorghum_leaf_segment_plus6_rep1	rep1	leaf C4 segment_plus6	leaf 	segment_plus6	developing	SRR1875520
SRX950485	Sorghum_leaf_segment_plus6_rep2	rep2	leaf C4 segment_plus6	leaf 	segment_plus6	developing	SRR1876991
SRX950486	Sorghum_leaf_segment_plus6_rep3	rep3	leaf C4 segment_plus6	leaf 	segment_plus6	developing	SRR1878107
SRX950487	Sorghum_leaf_segment_plus7_rep1	rep1	leaf C4 segment_plus7	leaf 	segment_plus7	developing	SRR1879518
SRX950488	Sorghum_leaf_segment_plus7_rep2	rep2	leaf C4 segment_plus7	leaf 	segment_plus7	developing	SRR1880959
SRX950489	Sorghum_leaf_segment_plus7_rep3	rep3	leaf C4 segment_plus7	leaf 	segment_plus7	developing	SRR1881929
SRX950490	Sorghum_leaf_segment_plus8_rep1	rep1	leaf C4 segment_plus8	leaf 	segment_plus8	developing	SRR1882919
SRX950491	Sorghum_leaf_segment_plus8_rep2	rep2	leaf C4 segment_plus8	leaf 	segment_plus8	developing	SRR1883966
SRX950492	Sorghum_leaf_segment_plus8_rep3	rep3	leaf C4 segment_plus8	leaf 	segment_plus8	developing	SRR1884878
SRX950494	Sorghum_leaf_segment_plus9_rep1	rep1	leaf C4 segment_plus9	leaf 	segment_plus9	developing	SRR1886389
SRX950496	Sorghum_leaf_segment_plus9_rep2	rep2	leaf C4 segment_plus9	leaf 	segment_plus9	developing	SRR1887380
SRX950497	Sorghum_leaf_segment_plus9_rep3	rep3	leaf C4 segment_plus9	leaf 	segment_plus9	developing	SRR1888240
SRX950498	Sorghum_leaf_segment_plus10_rep1	rep1	leaf C4 segment_plus10	leaf 	segment_plus10	developing	SRR1889422
SRX950499	Sorghum_leaf_segment_plus10_rep2	rep2	leaf C4 segment_plus10	leaf 	segment_plus10	developing	SRR1890269
SRX950500	Sorghum_leaf_segment_plus10_rep3	rep3	leaf C4 segment_plus10	leaf 	segment_plus10	developing	SRR1891234
